Distance_(µm),Gray_Value
0.000,253.025
1.702,253.332
3.404,253.486
5.106,253.397
6.808,253.265
8.510,252.597
10.212,252.314
11.914,252.298
13.616,252.474
15.318,252.683
17.020,253.031
18.722,253.182
20.423,252.982
22.125,253.129
23.827,253.077
25.529,253.015
27.231,252.969
28.933,252.868
30.635,252.815
32.337,252.935
34.039,253.151
35.741,253.351
37.443,253.523
39.145,254.018
40.847,253.474
42.549,251.308
44.251,249.849
45.953,251.360
47.655,253.985
49.357,252.978
51.059,248.511
52.761,223.154
54.463,177.295
56.165,132.129
57.867,99.209
59.568,73.769
61.270,56.271
62.972,43.572
64.674,37.311
66.376,43.289
68.078,64.098
69.780,84.206
71.482,100.908
73.184,123.498
74.886,144.794
76.588,158.625
78.290,173.209
79.992,196.486
81.694,216.665
83.396,230.068
85.098,241.791
86.800,250.889
88.502,253.763
90.204,253.858
91.906,253.960
93.608,253.982
95.310,253.978
97.012,254.018
98.713,254.006
100.415,253.714
102.117,253.268
103.819,252.932
105.521,252.902
107.223,253.086
108.925,253.314
110.627,253.363
112.329,253.166
114.031,253.083
115.733,253.132
117.435,253.209
119.137,253.335
120.839,253.474
122.541,253.569
124.243,253.597
125.945,253.662
127.647,253.788
129.349,253.889
131.051,253.877
132.753,253.775
134.455,253.529
136.157,253.342
137.858,253.351
139.560,253.458
141.262,253.735
142.964,253.834
144.666,253.828
146.368,253.874
148.070,253.775
149.772,253.348
151.474,252.594
153.176,252.065
154.878,252.209
156.580,252.692
158.282,252.606
159.984,253.489
161.686,251.677
163.388,247.443
165.090,247.791
166.792,252.058
168.494,251.812
170.196,246.788
171.898,217.480
173.600,167.692
175.302,116.375
177.003,85.317
178.705,63.858
180.407,48.335
182.109,39.345
183.811,34.009
185.513,40.098
187.215,64.203
188.917,90.222
190.619,108.785
192.321,127.917
194.023,151.049
195.725,172.357
197.427,185.191
199.129,201.972
200.831,222.822
202.533,237.689
204.235,244.262
205.937,251.311
207.639,253.972
209.341,253.028
211.043,253.911
212.745,254.000
214.447,254.003
216.148,254.012
217.850,254.028
219.552,253.969
221.254,253.751
222.956,253.600
224.658,253.563
226.360,253.646
228.062,253.489
229.764,253.354
231.466,253.262
233.168,253.265
234.870,253.465
236.572,253.612
238.274,253.754
239.976,253.588
241.678,253.852
243.380,253.948
245.082,253.769
246.784,253.720
248.486,253.766
250.188,253.606
251.890,253.268
253.592,252.615
255.293,252.566
256.995,252.840
258.697,253.228
260.399,253.514
262.101,253.760
263.803,253.828
265.505,253.572
267.207,253.477
268.909,253.471
270.611,253.575
272.313,253.588
274.015,253.606
275.717,253.403
277.419,253.252
279.121,253.548
280.823,253.049
282.525,250.969
284.227,246.468
285.929,249.342
287.631,248.538
289.333,241.477
291.035,214.695
292.737,166.446
294.438,112.440
296.140,76.689
297.842,60.206
299.544,45.975
301.246,36.428
302.948,34.102
304.650,36.514
306.352,61.212
308.054,93.022
309.756,112.671
311.458,132.274
313.160,155.751
314.862,182.883
316.564,197.289
318.266,208.729
319.968,225.926
321.670,244.788
323.372,249.437
325.074,253.234
326.776,254.037
328.478,253.505
330.180,253.874
331.882,254.086
333.583,253.683
335.285,253.938
336.987,253.978
338.689,253.822
340.391,253.674
342.093,253.634
343.795,253.698
345.497,253.698
347.199,253.532
348.901,253.255
350.603,253.169
352.305,252.831
354.007,252.345
355.709,251.686
357.411,251.212
359.113,251.305
360.815,251.625
362.517,252.283
364.219,252.834
365.921,253.369
367.623,253.572
369.325,253.489
371.027,253.268
372.728,253.043
374.430,252.822
376.132,252.880
377.834,253.126
379.536,253.342
381.238,253.406
382.940,253.234
384.642,253.166
386.344,253.240
388.046,253.345
389.748,253.055
391.450,252.892
393.152,252.698
394.854,252.588
396.556,253.012
398.258,253.612
399.960,253.194
401.662,251.477
403.364,243.938
405.066,244.892
406.768,245.237
408.470,238.809
410.172,212.945
411.873,161.618
413.575,102.037
415.277,63.185
416.979,49.191
418.681,40.465
420.383,31.815
422.085,29.474
423.787,36.505
425.489,58.477
427.191,94.329
428.893,124.363
430.595,145.662
432.297,168.468
433.999,198.446
435.701,214.502
437.403,221.489
439.105,236.966
440.807,251.689
442.509,253.646
444.211,253.963
445.913,253.975
447.615,253.960
449.316,253.997
451.018,254.031
452.720,254.012
454.422,254.006
456.124,253.954
457.826,253.732
459.528,253.468
461.230,253.375
462.932,253.662
464.634,253.745
466.336,253.083
468.038,252.542
469.740,252.332
471.442,252.529
473.144,252.498
474.846,252.668
476.548,253.129
478.250,253.366
479.952,253.471
481.654,253.428
483.356,253.422
485.058,253.628
486.760,253.326
488.462,252.954
490.163,252.658
491.865,252.498
493.567,252.609
495.269,252.877
496.971,253.037
498.673,253.037
500.375,253.462
502.077,253.591
503.779,253.363
505.481,252.671
507.183,252.271
508.885,252.517
510.587,252.132
512.289,250.791
513.991,250.434
515.693,248.852
517.395,248.357
519.097,249.828
520.799,248.665
522.501,241.209
524.203,232.566
525.905,226.911
527.607,211.388
529.308,186.425
531.010,140.883
532.712,84.575
534.414,52.375
536.116,44.175
537.818,39.000
539.520,31.877
541.222,32.234
542.924,39.615
544.626,63.948
546.328,101.889
548.030,139.394
549.732,170.148
551.434,190.348
553.136,216.880
554.838,232.262
556.540,236.923
558.242,241.212
559.944,251.649
561.646,253.908
563.348,252.846
565.050,253.671
566.752,254.018
568.453,254.022
570.155,253.862
571.857,253.634
573.559,253.720
575.261,253.954
576.963,254.012
578.665,253.932
580.367,253.985
582.069,253.557
583.771,253.255
585.473,253.068
587.175,252.883
588.877,252.791
590.579,253.040
592.281,253.480
593.983,253.606
595.685,253.634
597.387,253.415
599.089,253.015
